label,text,char_count,word_count,text_clean,char_count_clean,word_count_clean
ham,Wah lucky man... Then can save money... Hee...,46.0,8.0,wah lucky man save money hee,28,6
ham,Finished class where are you.,29.0,5.0,finished class,14,2
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,45.0,10.0,hi babe im home wan na something xx,35,8
ham,K..k:)where are you?how did you performed?,42.0,6.0,performed,9,1
ham,U can call me now...,20.0,5.0,call,4,1
ham,I am waiting machan. Call me once you free.,43.0,9.0,waiting machan call free,24,4
ham,Thats cool. i am a gentleman and will treat you with dignity and respect.,73.0,14.0,thats cool gentleman treat dignity respect,42,6
ham,I like you peoples very much:) but am very shy pa.,50.0,11.0,like people much shy pa,23,5
ham,Does not operate after  &lt,27.0,5.0,operate lt,10,2
ham,Its not the same here. Still looking for a job. How much do Ta's earn there.,76.0,16.0,still looking job much ta earn,30,6
ham,"Sorry, I'll call later",22.0,4.0,sorry call later,16,3
ham,K. Did you call me just now ah? ,32.0,8.0,call ah,7,2
ham,Ok i am on the way to home hi hi,32.0,10.0,ok way home hi hi,17,5
ham,You will be in the place of that man,36.0,9.0,place man,9,2
ham,Yup next stop.,14.0,3.0,yup next stop,13,3
ham,"I call you later, don't have network. If urgnt, sms me.",55.0,11.0,call later network urgnt sm,27,5
ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,121.0,26.0,real getting yo need ticket one jacket done already used multis,63,11
ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,144.0,31.0,yes started send request make pain came back back bed double coin factory got ta cash nitros,92,17
ham,I'm really not up to it still tonight babe,42.0,9.0,really still tonight babe,25,4
ham,"Ela kano.,il download, come wen ur free..",41.0,7.0,ela kano il download come wen ur free,37,8
ham,Yeah do! DonÛ÷t stand to close tho- youÛ÷ll catch something!,62.0,10.0,yeah stand close tho catch something,36,6
ham,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,195.0,39.0,sorry pain ok meet another night spent late afternoon casualty mean done stuff moro includes time sheet sorry,109,18
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,141.0,26.0,smile pleasure smile pain smile trouble pours like rain smile sum hurt smile becoz someone still love see smiling,113,19
spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,139.0,23.0,please call customer service representative pm guaranteed cash prize,68,9
ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,107.0,20.0,havent planning buy later check already lido got show afternoon finish work already,83,13
spam,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML",125.0,22.0,free ringtone waiting collected simply text password mix verify get usher britney fml,85,13
ham,Watching telugu movie..wat abt u?,33.0,5.0,watching telugu movie wat abt,29,5
ham,i see. When we finish we have loads of loans to pay,51.0,12.0,see finish load loan pay,24,5
ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""",179.0,38.0,hi wk ok hols yes bit run forgot hairdresser appointment four need get home shower beforehand cause prob,104,18
"ham""""""",,,,,0,0
ham,Please don't text me anymore. I have nothing else to say.,57.0,11.0,please text anymore nothing else say,36,6
ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,81.0,21.0,okay name ur price long legal wen pick ave am xx,48,11
ham,I'm still looking for a car to buy. And have not gone 4the driving test yet.,76.0,16.0,still looking car buy gone driving test yet,43,8
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,160.0,26.0,per request melle melle oru minnaminunginte nurungu vettam set callertune caller press copy friend callertune,109,15
ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",183.0,36.0,wow right mean guess gave boston men changed search location nyc something changed cuz signin page still say boston,115,19
ham,Umma my life and vava umma love you lot dear,44.0,10.0,umma life vava umma love lot dear,33,7
ham,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,95.0,17.0,thanks lot wish birthday thanks making birthday truly memorable,63,9
ham,"Aight, I'll hit you up when I get some cash",43.0,10.0,aight hit get cash,18,4
ham,How would my ip address test that considering my computer isn't a minecraft server,82.0,14.0,would ip address test considering computer minecraft server,59,8
ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,115.0,24.0,know grumpy old people mom like better lying always one play joke,65,12
ham,Dont worry. I guess he's busy.,30.0,6.0,dont worry guess busy,21,4
ham,What is the plural of the noun research?,40.0,8.0,plural noun research,20,3
ham,Going for dinner.msg you after.,31.0,5.0,going dinner msg,16,3
ham,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,96.0,24.0,ok wif co like try new thing scared dun like mah co said loud,61,14
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,159.0,27.0,gent trying contact last weekend draw show prize guaranteed call claim code valid hr ppm,88,15
ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",143.0,24.0,wa ur openin sentence formal anyway fine juz tt eatin much puttin weight haha anythin special happened,102,17
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",156.0,32.0,entered cabin pa said happy day bos felt special askd lunch lunch invited apartment went,88,15
spam,You are a winner U have been specially selected 2 receive å£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,153.0,27.0,winner specially selected receive holiday flight inc speak live operator claim min,82,12
ham,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,72.0,12.0,goodo yes must speak friday egg potato ratio tortilla needed,60,10
ham,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,86.0,15.0,hmm uncle informed paying school directly pls buy food,54,9
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,144.0,20.0,private account statement show unredeemed bonus point claim call identifier code expires,88,12
spam,"URGENT! Your Mobile No. was awarded å£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",157.0,26.0,urgent mobile awarded bonus caller prize final try contact call landline box wr ppm,83,14
ham,here is my new address -apples&pairs&all that malarky,53.0,8.0,new address apple pair malarky,30,5
spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,156.0,27.0,today voda number ending selected receive award match please call quoting claim code standard rate app,102,16
ham,I am going to sao mu today. Will be done only at 12 ,52.0,13.0,going sao mu today done,23,5
ham,ÌÏ predict wat time Ì_'ll finish buying?,40.0,7.0,predict wat time finish buying,30,5
ham,"Good stuff, will do.",20.0,4.0,good stuff,10,2
ham,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",244.0,46.0,know yetunde sent money yet sent text bother sending dont involve anything imposed anything first place apologise,113,17
ham,Are you there in room.,22.0,5.0,room,4,1
ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,107.0,27.0,hey girl hope well del bak long time give call sum time lucyxx,62,13
ham,K..k:)how much does it cost?,28.0,5.0,much cost,9,2
ham,I'm home.,9.0,2.0,home,4,1
ham,"Dear, will call Tmorrow.pls accomodate.",39.0,5.0,dear call tmorrow pls accomodate,32,5
ham,First answer my question.,25.0,4.0,first answer question,21,3
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. å£1.50 SP:Tyrone,126.0,25.0,sunshine quiz wkly win top sony dvd player know country algarve txt ansr sp tyrone,82,15
spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,162.0,28.0,want get laid tonight want real dogging location sent direct ur mob join uk largest dogging network bt txting gravel nt ec msg,126,23
ham,I only haf msn. It's yijue@hotmail.com,38.0,6.0,haf msn yijue hotmail com,25,5
ham,He is there. You call and meet him,34.0,8.0,call meet,9,2
ham,No no. I will check all rooms befor activities,46.0,9.0,check room befor activity,25,4
spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,155.0,32.0,rcv msg chat svc free hardcore service text go get nothing must age verify yr network try,89,17
ham,Got c... I lazy to type... I forgot Ì_ in lect... I saw a pouch but like not v nice...,86.0,20.0,got lazy type forgot lect saw pouch like nice,45,9
ham,"K, text me when you're on the way",33.0,8.0,text way,8,2
ham,"Sir, Waiting for your mail.",27.0,5.0,sir waiting mail,16,3
ham,"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8""",158.0,26.0,swt thought nver get tired little thing lovable person coz somtimes little thing occupy biggest part heart gud ni,113,19
ham,I know you are. Can you pls open the back?,42.0,10.0,know pls open back,18,4
ham,Yes see ya not on the dot,25.0,7.0,yes see ya dot,14,4
ham,Whats the staff name who is taking class for us?,48.0,10.0,whats staff name taking class u,31,6
spam,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",159.0,29.0,freemsg replied text randy sexy female live local luv hear netcollex ltd per msg reply stop end,95,17
ham,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,84.0,15.0,ummma call check life begin qatar pls pray hard,47,9
ham,K..i deleted my contact that why?,33.0,6.0,deleted contact,15,2
ham,Sindu got job in birla soft ..,30.0,7.0,sindu got job birla soft,24,5
ham,The wine is flowing and i'm i have nevering..,45.0,9.0,wine flowing nevering,21,3
ham,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,59.0,15.0,yup thk cine better co need go plaza mah,40,9
ham,Ok... Ur typical reply...,25.0,4.0,ok ur typical reply,19,4
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,160.0,26.0,per request melle melle oru minnaminunginte nurungu vettam set callertune caller press copy friend callertune,109,15
ham,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",384.0,80.0,everywhere dirt floor window even shirt sometimes open mouth come flowing dream world without half chore time joy lot tv show see guess like thing must exist like rain hail mist time done become one,198,35
ham,Aaooooright are you at work?,28.0,5.0,aaooooright work,16,2
ham,I'm leaving my house now...,27.0,5.0,leaving house,13,2
ham,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",157.0,33.0,hello love get interview today happy good boy think missing,59,10
spam,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,124.0,19.0,customer service annoncement new year delivery waiting please call arrange delivery,83,11
spam,You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,146.0,27.0,winner specially selected receive cash holiday flight inc speak live operator claim,83,12
ham,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,115.0,24.0,keep safe need miss already envy everyone see real life,55,10
ham,New car and house for my parents.:)i have only new job in hand:),64.0,13.0,new car house parent new job hand,33,7
ham,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,85.0,19.0,love excited day spend make happy,33,6
spam,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,152.0,24.0,pls stop bootydelious inviting friend reply yes see www sm ac bootydelious stop send stop frnd,94,16
spam,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",155.0,30.0,bangbabes ur order way receive service msg download ur content goto wap bangb tv ur mobile internet service menu,112,19
ham,I place all ur points on e cultures module already.,51.0,10.0,place ur point culture module already,37,6
spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a å£900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,157.0,27.0,urgent trying contact last weekend draw show prize guaranteed call claim code valid hr,86,14
ham,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",74.0,13.0,hi frnd best way avoid missunderstding wit beloved one,54,9
ham,Great escape. I fancy the bridge but needs her lager. See you tomo ,67.0,13.0,great escape fancy bridge need lager see tomo,45,8
ham,Yes :)it completely in out of form:)clark also utter waste.,59.0,10.0,yes completely form clark also utter waste,42,7
ham,"Sir, I need AXIS BANK account no and bank address.",50.0,10.0,sir need axis bank account bank address,39,7
ham,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",94.0,20.0,hmmm thk sure got time hop ard ya go free abt muz call discus liao,66,15
ham,What time you coming down later? ,33.0,6.0,time coming later,17,3
ham,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",105.0,21.0,bloody hell cant believe forgot surname mr ill give clue spanish begin,70,12
ham,"Well, i'm gonna finish my bath now. Have a good...fine night.",61.0,11.0,well gon na finish bath good fine night,39,8
ham,Let me know when you've got the money so carlos can make the call,65.0,14.0,let know got money carlos make call,35,7
ham,U still going to the mall?,26.0,6.0,still going mall,16,3
ham,Turns out my friends are staying for the whole show and won't be back til ~ &lt,79.0,17.0,turn friend staying whole show back til lt,42,8
ham,Text her. If she doesnt reply let me know so i can have her log in,66.0,16.0,text doesnt reply let know log,30,6
ham,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,126.0,25.0,hi spoke maneesha like know satisfied experience reply toll free yes,68,11
ham,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,159.0,31.0,lifted hope offer money need especially end month approach hurt studying anyways gr weekend,91,14
ham,Lol no. U can trust me.,23.0,6.0,lol trust,9,2
ham,ok. I am a gentleman and will treat you with dignity and respect.,65.0,13.0,ok gentleman treat dignity respect,34,5
ham,"He will, you guys close?",24.0,5.0,guy close,9,2
ham,Going on nothing great.bye,26.0,4.0,going nothing great bye,23,4
ham,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,152.0,32.0,hello handsome finding job lazy working towards getting back net mummy boytoy miss,82,13
ham,"Haha awesome, be there in a minute",34.0,7.0,haha awesome minute,19,3
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,149.0,24.0,please call customer service representative freephone pm guaranteed cash prize,78,10
ham,Have you got Xmas radio times. If not i will get it now,55.0,13.0,got xmas radio time get,23,5
ham,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,88.0,19.0,jus reached home go bathe first si using net tell finish,56,11
spam,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,72.0,10.0,unique enough find th august www areyouunique co uk,51,9
ham,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,185.0,38.0,sorry joined league people dont keep touch mean great deal friend time even great personal cost great week,106,18
ham,Hi :)finally i completed the course:),37.0,6.0,hi finally completed course,27,4
ham,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,111.0,22.0,stop however suggest stay someone able give or every stool,58,10
ham,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,92.0,19.0,hope settled new school year wishin gr day,42,8
ham,Gud mrng dear hav a nice day,28.0,7.0,gud mrng dear hav nice day,26,6
ham,Did u got that persons story,28.0,6.0,got person story,16,3
ham,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? ,64.0,14.0,hamster dead hey tmr meet pm orchard mrt,40,8
ham,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,131.0,30.0,hi kate evening hope see tomorrow bit bloody babyjontet txt back xxx,68,12
ham,"Found it, ENC  &lt",18.0,4.0,found enc lt,12,3
ham,I sent you  &lt,15.0,4.0,sent lt,7,2
ham,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,84.0,18.0,hello darlin ive finished college txt finish love kate xxx,58,10
ham,Your account has been refilled successfully by INR  &lt,55.0,9.0,account refilled successfully inr lt,36,5
ham,Goodmorning sleeping ga.,24.0,3.0,goodmorning sleeping ga,23,3
ham,U call me alter at 11 ok.,25.0,7.0,call alter ok,13,3
ham,ÌÏ say until like dat i dun buy ericsson oso cannot oredi lar...,64.0,13.0,say like dat dun buy ericsson oso oredi lar,43,9
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",156.0,32.0,entered cabin pa said happy day bos felt special askd lunch lunch invited apartment went,88,15
ham,"Aight yo, dats straight dogg",28.0,5.0,aight yo dat straight dogg,26,5
ham,You please give us connection today itself before  &lt,54.0,9.0,please give u connection today lt,33,6
ham,Both :) i shoot big loads so get ready!,39.0,9.0,shoot big load get ready,24,5
ham,"What's up bruv, hope you had a great break. Do have a rewarding semester.",73.0,14.0,bruv hope great break rewarding semester,40,6
